,idx,smiles
10,330,N#[C:15][CH2:14][n:13]1[c:9]([C:7]([O:6][CH2:5][CH3:4])=[O:8])[cH:10][c:11]2[c:12]1[CH2:17][CH2:18][CH2:19][CH2:20]2>CCO.CCOC(C)=O.Cl.[Pd]>N[CH2:15][CH2:14][n:13]1[c:9]([C:7]([O:6][CH2:5][CH3:4])=[O:8])[cH:10][c:11]2[c:12]1[CH2:17][CH2:18][CH2:19][CH2:20]2
11,361,Clc1cc(-c2c[n:24][c:9]([CH3:8])[n:10][cH:11]2)c2c(n1)CCC2.[N:29]#[C:30][c:31]1[cH:32][cH:33][c:34]([CH2:35][OH:36])[n:37][cH:38]1>ClC(Cl)Cl.O=C(/C=C/c1ccccc1)/C=C/[c:51]1cccc[cH:56]1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C([O-])[O-].[CH3:1][c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1.[Cs+].[Cs+].[Pd].[Pd]>n1c2[c:6]([c:5](-[c:4]3[cH:3][n:24][c:9]([CH3:8])[n:10][cH:11]3)[cH:51][c:56]1[O:36][CH2:35][c:34]1[cH:33][cH:32][c:31]([C:30]#[N:29])[cH:38][n:37]1)[CH2:7][CH2:2][CH2:1]2
12,528,COc1cc(Br)ccc1-[n:58]1[cH:59][n:60][c:61]([CH3:62])[cH:63]1.Fc1ccc(C[n:72]2[cH:71][cH:70][c:69]([NH2:68])[n:81]2)cc1>C1O[CH2:4][CH2:5][O:6][CH2:1]1.C[C:8]1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2O[c:30]2[c:31](P(c3ccccc3)c3ccccc3)[cH:45][cH:46][cH:47][c:48]21.ClC(Cl)Cl.O.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=[C:84](/C=C/c1ccccc1)/[CH:85]=[CH:86]/[c:87]1ccccc1.[Na+].[O-]c1ccccc1.[Pd].[Pd]>F[c:45]1[cH:31][cH:30][c:48]([CH2:8][n:72]2[cH:71][cH:70][c:69]([NH:68][c:85]3[cH:84][c:5]([O:6][CH3:1])[c:4](-[n:58]4[cH:59][n:60][c:61]([CH3:62])[cH:63]4)[cH:87][cH:86]3)[n:81]2)[cH:47][cH:46]1
13,600,CN=[C:6]=[S:7].[NH2:8][c:9]1[c:10]([Cl:11])[cH:12][cH:13][cH:14][c:15]1[Cl:16]>CCO>CN[C:6](=[S:7])[NH:8][c:9]1[c:10]([Cl:11])[cH:12][cH:13][cH:14][c:15]1[Cl:16]
14,619,O=[C:9]([c:8]1[cH:7][c:5]([Br:6])[c:4]([NH2:3])[c:17]([C:18]([F:19])([F:20])[F:21])[cH:16]1)[CH2:11][NH:12][CH:13]1[CH2:14][CH2:15]1>Cl.Cl.[BH4-].[Na+]>O[CH:9]([c:8]1[cH:7][c:5]([Br:6])[c:4]([NH2:3])[c:17]([C:18]([F:19])([F:20])[F:21])[cH:16]1)[CH2:11][NH:12][CH:13]1[CH2:14][CH2:15]1
15,629,Cc1cccc(C)c1NC(=O)Nc1cc(Cl)ccc1C(=O)O.[CH3:50][O:51][C:52](=[O:53])[C@@H:54]([NH2:55])[CH:56]1[CH2:57][CH2:58][CH2:59][CH2:60][CH2:61]1>CCOC(C)=O.CCO[C:19](C)=[O:21].CC[N:9]([CH:10]([CH3:11])[CH3:12])[CH:13](C)C.CN(C)C(On1nn[c:36]2[cH:37]ccn[c:41]12)=[N+](C)C.CN(C)C=O.F[P-](F)(F)(F)(F)F.[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH3:6].[ClH:84]>C[c:11]1[c:10]([NH:9][C:13](=O)N[c:2]2[cH:1][c:6]([Cl:84])[cH:5][cH:4][c:3]2[C:19](=[O:21])[NH:55][C@H:54]([C:52]([O:51][CH3:50])=[O:53])[CH:56]2[CH2:57][CH2:58][CH2:59][CH2:60][CH2:61]2)[c:12](C)[cH:37][cH:36][cH:41]1
16,639,Clc1ccc(CC=[C:18]2[CH:15]3[CH2:14][CH2:13][N+:12]([CH2:11][CH2:10][CH2:9][CH2:8][CH2:7][CH2:6][CH3:5])([CH2:17][CH2:16]3)[CH2:28]2)cc1>O.O=[C:2](O)[CH3:1].[Br-:30].[Pd]>Clc1cc[c:2](CC[CH:18]2[CH:15]3[CH2:14][CH2:13][N+:12]([CH2:11][CH2:10][CH2:9][CH2:8][CH2:7][CH2:6][CH3:5])([CH2:17][CH2:16]3)[CH2:28]2)[cH:1]c1.[Br-:30]
17,655,N#[C:14][c:15]1[cH:16][cH:17][c:18]2[c:19]([cH:20]1)[CH:21]([CH2:22][c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1)[NH:29][C:30]2=[O:31]>CCOC(C)=O.CO.Cl.Cl[Co]Cl.O.O.O.O.O.O.[BH4-].[Na+]>N[CH2:14][c:15]1[cH:16][cH:17][c:18]2[c:19]([cH:20]1)[CH:21]([CH2:22][c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1)[NH:29][C:30]2=[O:31]
18,693,N#[C:23][c:22]1[cH:21][cH:20][cH:19][c:18]([CH2:17][S:14]([NH:13][CH3:12])(=[O:15])=[O:16])[cH:25]1>B.C1CCOC1.C1CCOC1.Cl.[Na+].[OH-]>N[CH2:23][c:22]1[cH:21][cH:20][cH:19][c:18]([CH2:17][S:14]([NH:13][CH3:12])(=[O:15])=[O:16])[cH:25]1
19,702,O=C=[N:40][c:39]1[cH:38][cH:37][cH:36][c:35]([C:33]([O:32][CH3:31])=[O:34])[cH:43]1.[CH3:1][C:2]([CH3:3])([CH3:4])[c:5]1[cH:6][cH:7][c:8]([NH:9][CH2:10][c:11]2[cH:12][cH:13][c:14]([C:15](=[O:16])[NH:17][c:18]3[n:19][n:20][nH:21][n:22]3)[cH:23][cH:24]2)[cH:25][cH:26]1>CC(Cl)Cl>O=C([N:9]([c:8]1[cH:7][cH:6][c:5]([C:2]([CH3:1])([CH3:3])[CH3:4])[cH:26][cH:25]1)[CH2:10][c:11]1[cH:12][cH:13][c:14]([C:15](=[O:16])[NH:17][c:18]2[n:19][n:20][nH:21][n:22]2)[cH:23][cH:24]1)[NH:40][c:39]1[cH:38][cH:37][cH:36][c:35]([C:33]([O:32][CH3:31])=[O:34])[cH:43]1
20,726,C[C@:12]12[CH2:11][CH2:10][C:8](=O)[N:7]([CH3:6])[C@@H:23]1[CH2:22][CH2:21][c:20]1[c:14]2[cH:15][cH:16][c:17](Br)[cH:19]1.OB(O)[c:35]1[cH:36]ccc(C(F)(F)F)[cH:44]1>ClC(Cl)Cl.O1[CH2:3][CH2:2][CH2:1][CH2:5]1.O=C([O-])[O-].[Na+].[Na+].[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1>C[C@:5]12[CH2:1][CH2:2][C:3](=O)[N:7]([CH3:6])[C@@H:8]1[CH2:10][CH2:11][c:12]1[cH:14][c:20](-[c:19]3[cH:17][c:16]([C:15](F)(F)F)[cH:44][cH:35][cH:36]3)[cH:21][cH:22][c:23]12
21,727,CO[C:48](=O)[CH2:50][c:51]1[cH:52][cH:53][c:54](Br)[cH:56][cH:57]1.Cc1c(B2OC(C)(C)C(C)(C)O2)[cH:32][cH:31][c:30]([C:11]([CH2:10][CH3:9])([CH2:12][CH3:13])[c:14]2[cH:15][cH:16][c:17](/[CH:18]=[CH:19]/[C:20]3([OH:21])[CH2:22][CH2:23][S:24][CH2:25][CH2:26]3)[c:27]([CH3:28])[cH:29]2)[cH:45]1>CC(=O)[O-].COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1.Cc1ccccc1.O.O=P([O-])([O-])[O-].[CH3:1][C:2](=[O:3])[O-:4].[K+].[K+].[K+].[Pd+2]>C[O:4][C:2]([CH2:1][c:54]1[cH:53][cH:52][c:51](-[c:50]2[cH:32][cH:31][c:30]([C:11]([CH2:10][CH3:9])([CH2:12][CH3:13])[c:14]3[cH:15][cH:16][c:17](/[CH:18]=[CH:19]/[C:20]4([OH:21])[CH2:22][CH2:23][S:24][CH2:25][CH2:26]4)[c:27]([CH3:28])[cH:29]3)[cH:45][c:48]2C)[cH:57][cH:56]1)=[O:3]
22,759,N#[C:30][c:29]1[c:20](-[c:19]2[c:17]([CH3:18])[cH:16][c:15]([CH3:14])[cH:37][c:35]2[CH3:36])[n:21][c:22]2[c:23]3[c:24]([n:25][n:26]2[c:27]1[NH2:28])[CH2:32][S:33][CH2:34]3>B.C1CCOC1.C1CCOC1.CO.Cl>N[CH2:30][c:29]1[c:20](-[c:19]2[c:17]([CH3:18])[cH:16][c:15]([CH3:14])[cH:37][c:35]2[CH3:36])[n:21][c:22]2[c:23]3[c:24]([n:25][n:26]2[c:27]1[NH2:28])[CH2:32][S:33][CH2:34]3
23,815,O=C=[N:21][C:22](=[O:23])[c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1.[N:7]#[C:8][c:9]1[c:10]([NH2:11])[s:12][c:13]2[c:14]1[CH2:15][CH2:16][O:17][CH2:18]2>C1COCCO1>O=C([NH:11][c:10]1[c:9]([C:8]#[N:7])[c:14]2[c:13]([s:12]1)[CH2:18][O:17][CH2:16][CH2:15]2)[NH:21][C:22](=[O:23])[c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1
24,839,C[Mg+].O=[C:10]([c:11]1[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]1)[C:18]([F:19])([F:20])[F:21]>CCOCC.Cl.[Br-]>C[C:10](O)([c:11]1[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]1)[C:18]([F:19])([F:20])[F:21]
25,938,O=C=[N:28][c:29]1[cH:30][c:31]([F:32])[c:33]([F:34])[cH:35][c:36]1[F:37].[CH3:1][c:2]1[n:3][n:4][c:5]([CH2:6][CH:7]2[CH2:8][CH2:9][CH:10]([c:11]3[n:12][cH:13][c:14](-[c:15]4[cH:16][cH:17][c:18]([NH2:19])[cH:20][cH:21]4)[s:22]3)[CH2:23][CH2:24]2)[s:25]1>>O=C([NH:19][c:18]1[cH:17][cH:16][c:15](-[c:14]2[cH:13][n:12][c:11]([CH:10]3[CH2:9][CH2:8][CH:7]([CH2:6][c:5]4[n:4][n:3][c:2]([CH3:1])[s:25]4)[CH2:24][CH2:23]3)[s:22]2)[cH:21][cH:20]1)[NH:28][c:29]1[cH:30][c:31]([F:32])[c:33]([F:34])[cH:35][c:36]1[F:37]
26,960,O=C=[N:6][c:5]1[cH:4][c:3]([O:2][CH3:1])[c:13]([O:14][CH3:15])[c:10]([O:11][CH3:12])[cH:9]1.[CH3:16][n:17]1[n:18][c:19]([CH:20]2[CH2:21][CH2:22][N:23]([CH2:24][CH2:25][CH2:26][OH:27])[CH2:28][CH2:29]2)[c:30]2[cH:31][cH:32][c:33]([F:34])[cH:35][c:36]12>>O=C([NH:6][c:5]1[cH:4][c:3]([O:2][CH3:1])[c:13]([O:14][CH3:15])[c:10]([O:11][CH3:12])[cH:9]1)[O:27][CH2:26][CH2:25][CH2:24][N:23]1[CH2:22][CH2:21][CH:20]([c:19]2[n:18][n:17]([CH3:16])[c:36]3[c:30]2[cH:31][cH:32][c:33]([F:34])[cH:35]3)[CH2:29][CH2:28]1
27,971,N#[C:13][C@H:14]([OH:15])[C@H:16]([CH2:17][c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1)[N:24]([CH2:25][c:26]1[cH:27][cH:28][cH:29][cH:30][cH:31]1)[CH2:32][c:33]1[cH:34][cH:35][cH:36][cH:37][cH:38]1>CCOC(C)=O.CCOCC.[Al+3].[H-].[H-].[H-].[H-].[Li+].[Na+].[OH-]>N[CH2:13][C@@H:14]([OH:15])[C@H:16]([CH2:17][c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1)[N:24]([CH2:25][c:26]1[cH:27][cH:28][cH:29][cH:30][cH:31]1)[CH2:32][c:33]1[cH:34][cH:35][cH:36][cH:37][cH:38]1
28,975,O=C=[N:61][c:62]1[cH:63][cH:64][cH:65][c:66]([C:67]([F:68])([F:69])[F:70])[cH:71]1.[NH2:1][c:2]1[cH:3][c:4]([C:5](=[O:6])[NH:7][c:8]2[cH:9][c:10]([S:11](=[O:12])(=[O:13])[OH:14])[cH:15][c:16]3[cH:17][c:18]([S:19](=[O:20])(=[O:21])[OH:22])[cH:23][c:24]([S:25](=[O:26])(=[O:27])[OH:28])[c:29]23)[cH:30][c:31]([C:32](=[O:33])[NH:34][c:35]2[cH:36][c:37]([S:38](=[O:39])(=[O:40])[OH:41])[cH:42][c:43]3[cH:44][c:45]([S:46](=[O:47])(=[O:48])[OH:49])[cH:50][c:51]([S:52](=[O:53])(=[O:54])[OH:55])[c:56]23)[cH:57]1>[OH2:58]>C([NH:1][c:2]1[cH:3][c:4]([C:5](=[O:6])[NH:7][c:8]2[cH:9][c:10]([S:11](=[O:12])(=[O:13])[OH:14])[cH:15][c:16]3[cH:17][c:18]([S:19](=[O:20])(=[O:21])[OH:22])[cH:23][c:24]([S:25](=[O:26])(=[O:27])[OH:28])[c:29]23)[cH:30][c:31]([C:32](=[O:33])[NH:34][c:35]2[cH:36][c:37]([S:38](=[O:39])(=[O:40])[OH:41])[cH:42][c:43]3[cH:44][c:45]([S:46](=[O:47])(=[O:48])[OH:49])[cH:50][c:51]([S:52](=[O:53])(=[O:54])[OH:55])[c:56]23)[cH:57]1)(=[O:58])[NH:61][c:62]1[cH:63][cH:64][cH:65][c:66]([C:67]([F:68])([F:69])[F:70])[cH:71]1
29,1040,O=[C:37]([c:38]1[cH:39][c:40]([Cl:41])[cH:42][c:43]([Cl:44])[cH:45]1)[C:46]([F:47])([F:48])[F:49].[CH3:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]([C:8]2([F:9])[CH2:10][N:11]([C:12](=[O:13])[O:14][C:15]([CH3:16])([CH3:17])[CH3:18])[CH2:19]2)[cH:20][cH:21]1>CCCCCCC.CCN(CC)CC>O[C:37]([CH2:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]([C:8]2([F:9])[CH2:10][N:11]([C:12](=[O:13])[O:14][C:15]([CH3:16])([CH3:17])[CH3:18])[CH2:19]2)[cH:20][cH:21]1)([c:38]1[cH:39][c:40]([Cl:41])[cH:42][c:43]([Cl:44])[cH:45]1)[C:46]([F:47])([F:48])[F:49]
30,1045,CC(C(=O)O)=[CH:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1>[CH3:13][OH:14].[Pd]>CC([CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1)[C:13](=O)[OH:14]
31,1071,N#[C:5][CH2:6][N:7]1[CH2:8][CH2:9][CH2:10][O:11][CH2:12][CH2:13]1>CCO.[Ni]>N[CH2:5][CH2:6][N:7]1[CH2:8][CH2:9][CH2:10][O:11][CH2:12][CH2:13]1
32,1073,O=C=[N:41][c:42]1[cH:43][cH:44][cH:45][cH:46][cH:47]1.[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([N:7]([C:8](=[O:9])[CH2:10][N:11]2[C:12](=[O:13])[CH:14]([NH2:15])[C:16](=[O:17])[N:18]([c:19]3[cH:20][cH:21][cH:22][n:23][cH:24]3)[c:25]3[cH:26][cH:27][cH:28][cH:29][c:30]32)[CH:31]([CH3:32])[CH3:33])[cH:34][cH:35]1>ClCCl>O=C([NH:15][CH:14]1[C:12](=[O:13])[N:11]([CH2:10][C:8]([N:7]([c:6]2[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:35][cH:34]2)[CH:31]([CH3:32])[CH3:33])=[O:9])[c:30]2[c:25]([cH:26][cH:27][cH:28][cH:29]2)[N:18]([c:19]2[cH:20][cH:21][cH:22][n:23][cH:24]2)[C:16]1=[O:17])[NH:41][c:42]1[cH:43][cH:44][cH:45][cH:46][cH:47]1
33,1149,O[CH:21]1[CH:5]([NH:4][C:2]([CH3:1])=[O:3])[CH2:6][CH2:7][N:8]([C:9](=[O:10])[O:11][CH2:12][c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[CH2:19][CH2:20]1>ClCCl>O=[C:21]1[CH:5]([NH:4][C:2]([CH3:1])=[O:3])[CH2:6][CH2:7][N:8]([C:9](=[O:10])[O:11][CH2:12][c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[CH2:19][CH2:20]1
34,1152,O=C=[N:5][C:2]([CH3:1])([CH3:3])[CH3:4].[NH2:8][CH2:9][C@H:10]1[CH2:11][C@@H:12]([n:13]2[cH:14][c:15](-[c:16]3[cH:17][cH:18][cH:19][c:20]([O:21][CH2:22][c:23]4[cH:24][cH:25][cH:26][cH:27][cH:28]4)[cH:29]3)[c:30]3[c:31]([NH2:32])[n:33][cH:34][n:35][c:36]23)[CH2:37]1>>O=C([NH:5][C:2]([CH3:1])([CH3:3])[CH3:4])[NH:8][CH2:9][C@@H:10]1[CH2:11][C@H:12]([n:13]2[cH:14][c:15](-[c:16]3[cH:17][cH:18][cH:19][c:20]([O:21][CH2:22][c:23]4[cH:24][cH:25][cH:26][cH:27][cH:28]4)[cH:29]3)[c:30]3[c:31]([NH2:32])[n:33][cH:34][n:35][c:36]23)[CH2:37]1
35,1155,CC(C)=[CH:16][C:14]([NH:13][c:12]1[cH:11][cH:10][c:9]2[c:21]([cH:20]1)[CH2:22][CH2:23][N:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])[CH2:7][CH2:8]2)=[O:15]>ClCCl.[Al+3].[Cl-].[Cl-].[Cl-]>CC1(C)[c:11]2[cH:10][c:9]3[c:21]([cH:20][c:12]2[NH:13][C:14](=[O:15])[CH2:16]1)[CH2:22][CH2:23][N:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])[CH2:7][CH2:8]3
36,1176,O=C=[N:11][C:12](=[O:13])[c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1.[N:1]#[C:2][c:3]1[cH:4][cH:5][s:6][c:7]1[NH2:8]>>O=C([NH:8][c:7]1[c:3]([C:2]#[N:1])[cH:4][cH:5][s:6]1)[NH:11][C:12](=[O:13])[c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1
37,1189,O=C=[N:4][CH:2]([CH3:1])[CH3:3].[O:18]=[C:19]1[CH:20]([OH:21])[S:22][CH2:23][N:24]1[c:25]1[cH:26][cH:27][cH:28][cH:29][cH:30]1>CCN(CC)CC.ClC(Cl)Cl>O=C([NH:4][CH:2]([CH3:1])[CH3:3])[O:21][CH:20]1[C:19](=[O:18])[N:24]([c:25]2[cH:26][cH:27][cH:28][cH:29][cH:30]2)[CH2:23][S:22]1
38,1212,N#[C:5][c:6]1[cH:7][cH:8][cH:9][n:10][n:11]1>CO.[ClH:3].[H][H].[Pd]>N[CH2:5][c:6]1[cH:7][cH:8][cH:9][n:10][n:11]1.[ClH:3]
39,1257,O=[CH:9][c:8]1[c:2]([CH3:1])[cH:3][cH:4][cH:5][c:6]1[Cl:7]>[BH4-].[Na+]>O[CH2:9][c:8]1[c:2]([CH3:1])[cH:3][cH:4][cH:5][c:6]1[Cl:7]
40,1263,COC(=O)Cc1ccccc1C#[C:35][c:34]1[c:29]([C:30]([F:31])([F:32])[F:33])[cH:28][n:27][c:26]([NH:25][c:24]2[c:6]([CH2:5][CH3:4])[cH:7][c:8]([CH:9]3[CH2:10][CH2:11][N:12]([C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19])[CH2:20][CH2:21]3)[cH:22][cH:23]2)[n:48]1>[CH3:1][CH2:2][OH:3].[Pd]>C[O:3][C:2](=O)[CH2:1][c:24]1[c:6]([CH2:5][CH2:35][c:34]2[c:29]([C:30]([F:31])([F:32])[F:33])[cH:28][n:27][c:26]([NH:25][c:24]3[c:6]([CH2:5][CH3:4])[cH:7][c:8]([CH:9]4[CH2:10][CH2:11][N:12]([C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19])[CH2:20][CH2:21]4)[cH:22][cH:23]3)[n:48]2)[cH:7][cH:8][cH:22][cH:23]1
41,1273,COC(=O)C=[CH:19][CH:18]1[O:17][CH:16]([n:15]2[c:11]3[n:10][cH:9][n:8][c:7]([NH:6][C:4]([NH:3][CH2:2][CH3:1])=[O:5])[c:12]3[n:13][cH:14]2)[CH:37]2[CH:25]1[O:26][CH:27]([CH:28]=[CH:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)[O:36]2>O=S(=O)([O-])[O-].[BH4-].[CH3:38][OH:39].[Cu+2].[Na+].[OH2:40]>C[O:39][C:38](C[CH2:19][CH:18]1[O:17][CH:16]([n:15]2[c:11]3[n:10][cH:9][n:8][c:7]([NH:6][C:4]([NH:3][CH2:2][CH3:1])=[O:5])[c:12]3[n:13][cH:14]2)[CH:37]2[CH:25]1[O:26][CH:27]([CH:28]=[CH:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)[O:36]2)=[O:40]
42,1279,C=[C:2]([CH3:3])[c:4]1[cH:5][c:6]2[c:7](-c3ccc(S(=O)(=O)NC4CCS(=O)(=O)CC4)cc3)[cH:26][cH:27][n:28][c:29]2[n:30]1[S:31](c1ccccc1)(=[O:32])=[O:33]>CO.C[N:41](C)[CH:43]=O>C[CH:2]([CH3:3])[c:4]1[cH:5][c:6]2[c:7](-c3ccc(S(=O)(=O)[NH:41][CH:43]4CCS(=O)(=O)CC4)cc3)[cH:26][cH:27][n:28][c:29]2[n:30]1[S:31](c1ccccc1)(=[O:32])=[O:33]
