330,"N#[C:2][CH2:3][n:4]1[c:13]2[CH2:14][CH2:15][CH2:16][CH2:17][c:12]2[cH:11][c:5]1[C:6](=[O:10])[O:7][CH2:8][CH3:9]>CCO.CCOC(=O)C.Cl.[Pd]>N[CH2:2][CH2:3][n:4]1[c:13]2[CH2:14][CH2:15][CH2:16][CH2:17][c:12]2[cH:11][c:5]1[C:6](=[O:10])[O:7][CH2:8][CH3:9]"
361,"Cl[c:2]1[n:14][c:13]2[CH2:15][CH2:16][CH2:17][c:12]2[c:4](-[c:5]2[cH:11][n:10][c:8]([CH3:9])[n:7][cH:6]2)[cH:3]1.[N:18]#[C:19][c:20]1[cH:27][n:26][c:23]([CH2:24][OH:25])[cH:22][cH:21]1>ClC(Cl)Cl.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C([O-])[O-].Cc1ccccc1.[Cs+].[Cs+].[Pd].[Pd]>[n:14]1[c:2]([O:25][CH2:24][c:23]2[n:26][cH:27][c:20]([C:19]#[N:18])[cH:21][cH:22]2)[cH:3][c:4](-[c:5]2[cH:11][n:10][c:8]([CH3:9])[n:7][cH:6]2)[c:12]2[CH2:17][CH2:16][CH2:15][c:13]12"
528,"[CH3:1][O:2][c:3]1[c:9](-[n:10]2[cH:15][c:13]([CH3:14])[n:12][cH:11]2)[cH:8][cH:7][c:5](Br)[cH:4]1.[F:16][c:17]1[cH:29][cH:28][c:20]([CH2:21][n:22]2[n:27][c:25]([NH2:26])[cH:24][cH:23]2)[cH:19][cH:18]1>C1COCCO1.CC1(c2c(c(ccc2)P(c2ccccc2)c2ccccc2)Oc2c1cccc2P(c1ccccc1)c1ccccc1)C.ClC(Cl)Cl.O.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Na+].[O-]c1ccccc1.[Pd].[Pd]>[F:16][c:17]1[cH:29][cH:28][c:20]([CH2:21][n:22]2[n:27][c:25]([NH:26][c:5]3[cH:7][cH:8][c:9](-[n:10]4[cH:15][c:13]([CH3:14])[n:12][cH:11]4)[c:3]([O:2][CH3:1])[cH:4]3)[cH:24][cH:23]2)[cH:19][cH:18]1"
600,"CN=[C:3]=[S:4].[NH2:5][c:6]1[c:12]([Cl:13])[cH:11][cH:10][cH:9][c:7]1[Cl:8]>CCO>CN[C:3]([NH:5][c:6]1[c:12]([Cl:13])[cH:11][cH:10][cH:9][c:7]1[Cl:8])=[S:4]"
619,"O=[C:2]([CH2:15][NH:16][CH:17]1[CH2:19][CH2:18]1)[c:3]1[cH:14][c:9]([C:10]([F:13])([F:12])[F:11])[c:7]([NH2:8])[c:5]([Br:6])[cH:4]1>Cl.Cl.[BH4-].[Na+]>O[CH:2]([CH2:15][NH:16][CH:17]1[CH2:19][CH2:18]1)[c:3]1[cH:14][c:9]([C:10]([F:13])([F:12])[F:11])[c:7]([NH2:8])[c:5]([Br:6])[cH:4]1"
629,"[CH3:1][c:2]1[c:8]([NH:9][C:10]([NH:12][c:13]2[c:19]([C:20](O)=[O:21])[cH:18][cH:17][c:15]([Cl:16])[cH:14]2)=[O:11])[c:6]([CH3:7])[cH:5][cH:4][cH:3]1.[CH3:23][O:24][C:25]([C@H:27]([CH:29]1[CH2:34][CH2:33][CH2:32][CH2:31][CH2:30]1)[NH2:28])=[O:26]>CCOC(=O)C.CCOC(=O)C.CCN(C(C)C)C(C)C.CN(C(=[N+](C)C)O[n]1c2c(cccn2)nn1)C.CN(C=O)C.F[P-](F)(F)(F)(F)F.CCCCCC.Cl>[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]([CH3:7])[c:8]1[NH:9][C:10]([NH:12][c:13]1[c:19]([C:20]([NH:28][C@@H:27]([CH:29]2[CH2:34][CH2:33][CH2:32][CH2:31][CH2:30]2)[C:25](=[O:26])[O:24][CH3:23])=[O:21])[cH:18][cH:17][c:15]([Cl:16])[cH:14]1)=[O:11]"
639,"Clc1ccc(CC=[C:8]2[CH2:22][N+:12]3([CH2:20][CH2:21][CH:9]2[CH2:10][CH2:11]3)[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH3:19])cc1>O.O=C(C)O.[Br-].[Pd]>Clc1ccc(CC[CH:8]2[CH2:22][N+:12]3([CH2:11][CH2:10][CH:9]2[CH2:21][CH2:20]3)[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH3:19])cc1.[Br-]"
655,"N#[C:2][c:3]1[cH:8][c:7]2[CH:9]([NH:17][C:18](=[O:19])[c:6]2[cH:5][cH:4]1)[CH2:10][c:11]1[cH:16][cH:15][cH:14][cH:13][cH:12]1>CCOC(=O)C.CO.Cl.Cl[Co]Cl.O.O.O.O.O.O.[BH4-].[Na+]>N[CH2:2][c:3]1[cH:8][c:7]2[CH:9]([NH:17][C:18](=[O:19])[c:6]2[cH:5][cH:4]1)[CH2:10][c:11]1[cH:16][cH:15][cH:14][cH:13][cH:12]1"
693,"N#[C:2][c:3]1[cH:14][c:7]([CH2:8][S:9](=[O:13])(=[O:12])[NH:10][CH3:11])[cH:6][cH:5][cH:4]1>B.C1COCC1.C1COCC1.Cl.[Na+].[OH-]>N[CH2:2][c:3]1[cH:14][c:7]([CH2:8][S:9](=[O:13])(=[O:12])[NH:10][CH3:11])[cH:6][cH:5][cH:4]1"
702,"O=C=[N:3][c:4]1[cH:13][c:8]([C:9](=[O:12])[O:10][CH3:11])[cH:7][cH:6][cH:5]1.[CH3:14][C:15]([c:18]1[cH:39][cH:38][c:21]([NH:22][CH2:23][c:24]2[cH:37][cH:36][c:27]([C:28]([NH:30][c:31]3[n:35][nH:34][n:33][n:32]3)=[O:29])[cH:26][cH:25]2)[cH:20][cH:19]1)([CH3:17])[CH3:16]>CC(Cl)Cl>O=C([NH:3][c:4]1[cH:13][c:8]([C:9](=[O:12])[O:10][CH3:11])[cH:7][cH:6][cH:5]1)[N:22]([CH2:23][c:24]1[cH:37][cH:36][c:27]([C:28]([NH:30][c:31]2[n:35][nH:34][n:33][n:32]2)=[O:29])[cH:26][cH:25]1)[c:21]1[cH:38][cH:39][c:18]([C:15]([CH3:14])([CH3:16])[CH3:17])[cH:19][cH:20]1"
726,"[CH3:1][C@@:2]12[c:13]3[cH:14][cH:15][c:16]([cH:18][c:12]3[CH2:11][CH2:10][C@H:9]1[N:7]([CH3:8])[C:5](=[O:6])[CH2:4][CH2:3]2)Br.OB([c:22]1[cH:31][c:26]([C:27]([F:30])([F:29])[F:28])[cH:25][cH:24][cH:23]1)O>ClC(Cl)Cl.O1CCCC1.O=C([O-])[O-].[Na+].[Na+].[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1>[CH3:1][C@@:2]12[c:13]3[c:12]([cH:18][c:16]([cH:15][cH:14]3)-[c:24]3[cH:23][cH:22][cH:31][c:26]([C:27]([F:30])([F:29])[F:28])[cH:25]3)[CH2:11][CH2:10][C@H:9]1[N:7]([CH3:8])[C:5](=[O:6])[CH2:4][CH2:3]2"
727,"[CH3:1][O:2][C:3]([CH2:5][c:6]1[cH:12][cH:11][c:9](Br)[cH:8][cH:7]1)=[O:4].[CH3:13][c:14]1[cH:49][c:27]([C:28]([c:33]2[cH:48][c:46]([CH3:47])[c:36](/[CH:37]=[CH:38]/[C:39]3([CH2:45][CH2:44][S:43][CH2:42][CH2:41]3)[OH:40])[cH:35][cH:34]2)([CH2:31][CH3:32])[CH2:29][CH3:30])[cH:26][cH:25][c:15]1B1OC(C)(C)C(C)(C)O1>CC([O-])=O.COc1c(-c2c(P(C3CCCCC3)C3CCCCC3)cccc2)c(OC)ccc1.Cc1ccccc1.O.O=P([O-])([O-])[O-].CC([O-])=O.[K+].[K+].[K+].[Pd+2]>[CH3:1][O:2][C:3](=[O:4])[CH2:5][c:6]1[cH:12][cH:11][c:9](-[c:15]2[c:14]([CH3:13])[cH:49][c:27]([C:28]([c:33]3[cH:48][c:46]([CH3:47])[c:36](/[CH:37]=[CH:38]/[C:39]4([CH2:45][CH2:44][S:43][CH2:42][CH2:41]4)[OH:40])[cH:35][cH:34]3)([CH2:31][CH3:32])[CH2:29][CH3:30])[cH:26][cH:25]2)[cH:8][cH:7]1"
759,"N#[C:2][c:3]1[c:20]([NH2:21])[n:19]2[c:15]([c:16]3[CH2:24][S:23][CH2:22][c:17]3[n:18]2)[n:14][c:4]1-[c:5]1[c:12]([CH3:13])[cH:11][c:9]([CH3:10])[cH:8][c:6]1[CH3:7]>B.C1COCC1.C1COCC1.CO.Cl>N[CH2:2][c:3]1[c:20]([NH2:21])[n:19]2[c:15]([c:16]3[CH2:24][S:23][CH2:22][c:17]3[n:18]2)[n:14][c:4]1-[c:5]1[c:12]([CH3:13])[cH:11][c:9]([CH3:10])[cH:8][c:6]1[CH3:7]"
815,"O=C=[N:3][C:4]([c:6]1[cH:11][cH:10][cH:9][cH:8][cH:7]1)=[O:5].[N:12]#[C:13][c:14]1[c:19]2[CH2:20][CH2:21][O:22][CH2:23][c:18]2[s:17][c:15]1[NH2:16]>C1OCCOC1>O=C([NH:3][C:4]([c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)=[O:5])[NH:16][c:15]1[s:17][c:18]2[CH2:23][O:22][CH2:21][CH2:20][c:19]2[c:14]1[C:13]#[N:12]"
839,"C[Mg+].O=[C:4]([C:12]([F:15])([F:14])[F:13])[c:5]1[cH:11][cH:10][c:8]([Br:9])[cH:7][cH:6]1>CCOCC.Cl.[Br-]>C[C:4]([C:12]([F:15])([F:14])[F:13])([c:5]1[cH:11][cH:10][c:8]([Br:9])[cH:7][cH:6]1)O"
938,"O=C=[N:3][c:4]1[c:11]([F:12])[cH:10][c:8]([F:9])[c:6]([F:7])[cH:5]1.[CH3:13][c:14]1[s:37][c:17]([CH2:18][CH:19]2[CH2:36][CH2:35][CH:22]([c:23]3[s:34][c:26](-[c:27]4[cH:33][cH:32][c:30]([NH2:31])[cH:29][cH:28]4)[cH:25][n:24]3)[CH2:21][CH2:20]2)[n:16][n:15]1>>O=C([NH:3][c:4]1[c:11]([F:12])[cH:10][c:8]([F:9])[c:6]([F:7])[cH:5]1)[NH:31][c:30]1[cH:29][cH:28][c:27](-[c:26]2[s:34][c:23]([CH:22]3[CH2:21][CH2:20][CH:19]([CH2:18][c:17]4[s:37][c:14]([CH3:13])[n:15][n:16]4)[CH2:36][CH2:35]3)[n:24][cH:25]2)[cH:33][cH:32]1"
960,"O=C=[N:3][c:4]1[cH:15][c:12]([O:13][CH3:14])[c:9]([O:10][CH3:11])[c:6]([O:7][CH3:8])[cH:5]1.[CH3:16][n:17]1[c:36]2[c:30]([cH:31][cH:32][c:33]([cH:35]2)[F:34])[c:19]([CH:20]2[CH2:29][CH2:28][N:23]([CH2:24][CH2:25][CH2:26][OH:27])[CH2:22][CH2:21]2)[n:18]1>>O=C([O:27][CH2:26][CH2:25][CH2:24][N:23]1[CH2:22][CH2:21][CH:20]([c:19]2[c:30]3[cH:31][cH:32][c:33]([cH:35][c:36]3[n:17]([CH3:16])[n:18]2)[F:34])[CH2:29][CH2:28]1)[NH:3][c:4]1[cH:5][c:6]([O:7][CH3:8])[c:9]([O:10][CH3:11])[c:12]([O:13][CH3:14])[cH:15]1"
971,"N#[C:2][C@@H:3]([C@@H:5]([N:13]([CH2:21][c:22]1[cH:27][cH:26][cH:25][cH:24][cH:23]1)[CH2:14][c:15]1[cH:20][cH:19][cH:18][cH:17][cH:16]1)[CH2:6][c:7]1[cH:12][cH:11][cH:10][cH:9][cH:8]1)[OH:4]>CCOC(=O)C.CCOCC.[Al+3].[H-].[H-].[H-].[H-].[Li+].[Na+].[OH-]>N[CH2:2][C@H:3]([C@@H:5]([N:13]([CH2:21][c:22]1[cH:27][cH:26][cH:25][cH:24][cH:23]1)[CH2:14][c:15]1[cH:20][cH:19][cH:18][cH:17][cH:16]1)[CH2:6][c:7]1[cH:12][cH:11][cH:10][cH:9][cH:8]1)[OH:4]"
975,"O=C=[N:3][c:4]1[cH:13][c:8]([C:9]([F:12])([F:11])[F:10])[cH:7][cH:6][cH:5]1.[NH2:14][c:15]1[cH:70][c:44]([C:45]([NH:47][c:48]2[c:69]3[c:56]([cH:57][c:58]([cH:63][c:64]3[S:65]([OH:68])(=[O:67])=[O:66])[S:59]([OH:62])(=[O:61])=[O:60])[cH:55][c:50]([S:51]([OH:54])(=[O:53])=[O:52])[cH:49]2)=[O:46])[cH:43][c:17]([C:18]([NH:20][c:21]2[c:42]3[c:29]([cH:30][c:31]([cH:36][c:37]3[S:38]([OH:41])(=[O:40])=[O:39])[S:32]([OH:35])(=[O:34])=[O:33])[cH:28][c:23]([S:24]([OH:27])(=[O:26])=[O:25])[cH:22]2)=[O:19])[cH:16]1>O>C([NH:3][c:4]1[cH:13][c:8]([C:9]([F:10])([F:11])[F:12])[cH:7][cH:6][cH:5]1)(=O)[NH:14][c:15]1[cH:70][c:44]([C:45]([NH:47][c:48]2[c:69]3[c:56]([cH:57][c:58]([cH:63][c:64]3[S:65]([OH:68])(=[O:67])=[O:66])[S:59]([OH:62])(=[O:61])=[O:60])[cH:55][c:50]([S:51]([OH:54])(=[O:52])=[O:53])[cH:49]2)=[O:46])[cH:43][c:17]([C:18]([NH:20][c:21]2[c:42]3[c:29]([cH:30][c:31]([cH:36][c:37]3[S:38]([OH:41])(=[O:39])=[O:40])[S:32]([OH:35])(=[O:33])=[O:34])[cH:28][c:23]([S:24]([OH:27])(=[O:26])=[O:25])[cH:22]2)=[O:19])[cH:16]1"
1040,"O=[C:2]([C:11]([F:14])([F:13])[F:12])[c:3]1[cH:10][c:8]([Cl:9])[cH:7][c:5]([Cl:6])[cH:4]1.[CH3:15][C:16]([c:18]1[cH:35][cH:34][c:21]([C:22]2([CH2:33][N:25]([C:26]([O:28][C:29]([CH3:32])([CH3:31])[CH3:30])=[O:27])[CH2:24]2)[F:23])[cH:20][cH:19]1)=[O:17]>CCCCCCC.CCN(CC)CC>O[C:2]([C:11]([F:14])([F:13])[F:12])([c:3]1[cH:10][c:8]([Cl:9])[cH:7][c:5]([Cl:6])[cH:4]1)[CH2:15][C:16]([c:18]1[cH:35][cH:34][c:21]([C:22]2([CH2:33][N:25]([C:26]([O:28][C:29]([CH3:30])([CH3:31])[CH3:32])=[O:27])[CH2:24]2)[F:23])[cH:20][cH:19]1)=[O:17]"
1045,"CC(=[CH:6][c:7]1[cH:12][cH:11][cH:10][cH:9][cH:8]1)C(O)=O>CO.[Pd]>CC(C(O)=O)[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1"
1071,"N#[C:2][CH2:3][N:4]1[CH2:10][CH2:9][O:8][CH2:7][CH2:6][CH2:5]1>CCO.[Ni]>N[CH2:2][CH2:3][N:4]1[CH2:10][CH2:9][O:8][CH2:7][CH2:6][CH2:5]1"
1073,"O=C=[N:3][c:4]1[cH:9][cH:8][cH:7][cH:6][cH:5]1.[CH3:10][O:11][c:12]1[cH:44][cH:43][c:15]([N:16]([CH:40]([CH3:42])[CH3:41])[C:17]([CH2:19][N:20]2[c:39]3[c:34]([cH:35][cH:36][cH:37][cH:38]3)[N:27]([c:28]3[cH:33][n:32][cH:31][cH:30][cH:29]3)[C:25](=[O:26])[CH:23]([NH2:24])[C:21]2=[O:22])=[O:18])[cH:14][cH:13]1>ClCCl>O=C([NH:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1)[NH:24][CH:23]1[C:25](=[O:26])[N:27]([c:28]2[cH:33][n:32][cH:31][cH:30][cH:29]2)[c:34]2[cH:35][cH:36][cH:37][cH:38][c:39]2[N:20]([CH2:19][C:17](=[O:18])[N:16]([CH:40]([CH3:42])[CH3:41])[c:15]2[cH:14][cH:13][c:12]([O:11][CH3:10])[cH:44][cH:43]2)[C:21]1=[O:22]"
1149,"O[CH:2]1[CH2:22][CH2:21][N:10]([C:11]([O:13][CH2:14][c:15]2[cH:20][cH:19][cH:18][cH:17][cH:16]2)=[O:12])[CH2:9][CH2:8][CH:3]1[NH:4][C:5](=[O:7])[CH3:6]>ClCCl>O=[C:2]1[CH2:22][CH2:21][N:10]([C:11]([O:13][CH2:14][c:15]2[cH:20][cH:19][cH:18][cH:17][cH:16]2)=[O:12])[CH2:9][CH2:8][CH:3]1[NH:4][C:5](=[O:7])[CH3:6]"
1152,"O=C=[N:3][C:4]([CH3:7])([CH3:6])[CH3:5].[NH2:8][CH2:9][C@@H:10]1[CH2:37][C@H:12]([n:13]2[c:36]3[c:30]([c:31]([n:33][cH:34][n:35]3)[NH2:32])[c:15](-[c:16]3[cH:29][c:20]([O:21][CH2:22][c:23]4[cH:28][cH:27][cH:26][cH:25][cH:24]4)[cH:19][cH:18][cH:17]3)[cH:14]2)[CH2:11]1>>O=C([NH:8][CH2:9][C@H:10]1[CH2:11][C@@H:12]([n:13]2[c:36]3[c:30]([c:31]([n:33][cH:34][n:35]3)[NH2:32])[c:15](-[c:16]3[cH:29][c:20]([O:21][CH2:22][c:23]4[cH:28][cH:27][cH:26][cH:25][cH:24]4)[cH:19][cH:18][cH:17]3)[cH:14]2)[CH2:37]1)[NH:3][C:4]([CH3:5])([CH3:6])[CH3:7]"
1155,"CC(=[CH:4][C:5](=[O:23])[NH:6][c:7]1[cH:12][c:11]2[CH2:13][CH2:14][N:15]([CH2:21][CH2:22][c:10]2[cH:9][cH:8]1)[C:16](=[O:20])[O:17][CH2:18][CH3:19])C>ClCCl.[Al+3].[Cl-].[Cl-].[Cl-]>CC1([CH2:4][C:5](=[O:23])[NH:6][c:7]2[c:8]1[cH:9][c:10]1[CH2:22][CH2:21][N:15]([C:16](=[O:20])[O:17][CH2:18][CH3:19])[CH2:14][CH2:13][c:11]1[cH:12]2)C"
1176,"O=C=[N:3][C:4]([c:6]1[cH:11][cH:10][cH:9][cH:8][cH:7]1)=[O:5].[N:12]#[C:13][c:14]1[c:18]([NH2:19])[s:17][cH:16][cH:15]1>>O=C([NH:3][C:4]([c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)=[O:5])[NH:19][c:18]1[s:17][cH:16][cH:15][c:14]1[C:13]#[N:12]"
1189,"O=C=[N:3][CH:4]([CH3:6])[CH3:5].[O:7]=[C:8]1[N:13]([c:14]2[cH:19][cH:18][cH:17][cH:16][cH:15]2)[CH2:12][S:11][CH:9]1[OH:10]>CCN(CC)CC.ClC(Cl)Cl>O=C([O:10][CH:9]1[S:11][CH2:12][N:13]([c:14]2[cH:19][cH:18][cH:17][cH:16][cH:15]2)[C:8]1=[O:7])[NH:3][CH:4]([CH3:5])[CH3:6]"
1212,"N#[C:2][c:3]1[n:8][n:7][cH:6][cH:5][cH:4]1>CO.Cl.[H][H].[Pd]>N[CH2:2][c:3]1[n:8][n:7][cH:6][cH:5][cH:4]1.Cl"
1257,"O=[CH:2][c:3]1[c:9]([Cl:10])[cH:8][cH:7][cH:6][c:4]1[CH3:5]>[BH4-].[Na+]>O[CH2:2][c:3]1[c:9]([Cl:10])[cH:8][cH:7][cH:6][c:4]1[CH3:5]"
1263,"COC(Cc1c(C#[C:13][c:14]2[n:45][c:22]([NH:23][c:24]3[cH:44][cH:43][c:29]([CH:30]4[CH2:42][CH2:41][N:33]([C:34]([O:36][C:37]([CH3:40])([CH3:39])[CH3:38])=[O:35])[CH2:32][CH2:31]4)[cH:28][c:25]3[CH2:26][CH3:27])[n:21][cH:20][c:15]2[C:16]([F:19])([F:18])[F:17])cccc1)=O>CCO.[Pd]>COC(Cc1ccccc1C[CH2:13][c:14]1[n:45][c:22]([NH:23][c:24]2[cH:44][cH:43][c:29]([CH:30]3[CH2:31][CH2:32][N:33]([C:34]([O:36][C:37]([CH3:40])([CH3:38])[CH3:39])=[O:35])[CH2:41][CH2:42]3)[cH:28][c:25]2[CH2:26][CH3:27])[n:21][cH:20][c:15]1[C:16]([F:19])([F:17])[F:18])=O"
1273,"COC(C=[CH:6][CH:7]1[CH:26]2[O:27][CH:28]([O:37][CH:25]2[CH:9]([n:10]2[cH:24][n:23][c:22]3[c:11]2[n:12][cH:13][n:14][c:15]3[NH:16][C:17](=[O:21])[NH:18][CH2:19][CH3:20])[O:8]1)[CH:29]=[CH:30][c:31]1[cH:36][cH:35][cH:34][cH:33][cH:32]1)=O>O=S([O-])([O-])=O.[BH4-].CO.[Cu+2].[Na+].O>COC(=O)C[CH2:6][CH:7]1[CH:26]2[O:27][CH:28]([O:37][CH:25]2[CH:9]([n:10]2[cH:24][n:23][c:22]3[c:11]2[n:12][cH:13][n:14][c:15]3[NH:16][C:17](=[O:21])[NH:18][CH2:19][CH3:20])[O:8]1)[CH:29]=[CH:30][c:31]1[cH:36][cH:35][cH:34][cH:33][cH:32]1"
1279,"C=[C:2]([c:4]1[n:30](S(=O)(=O)c2ccccc2)[c:29]2[c:6]([c:7]([cH:26][cH:27][n:28]2)-c2ccc(S(NC3CCS(=O)(=O)CC3)(=O)=O)cc2)[cH:5]1)[CH3:3]>CO.CN(C=O)C>[CH3:3][CH:2]([c:4]1[n:30](S(=O)(=O)c2ccccc2)[c:29]2[c:6]([c:7]([cH:26][cH:27][n:28]2)-c2ccc(S(NC3CCS(=O)(=O)CC3)(=O)=O)cc2)[cH:5]1)C"
